id,name,first_air_date,actors,genres,vote_average,poster_path,overview,ubicacion
83659,Guillermo del Toro's Cabinet of Curiosities,2022-10-25,,"Drama,Misterio,Sci-Fi & Fantasy",7.477,/a91e9hpWwfCqxJI4xM9Q2RhuxgI.jpg,"Las pesadillas más sobrecogedoras cobran vida en estos ocho cuentos de terror, escalofriantes y visualmente arrebatadores, seleccionados por Guillermo del Toro.",N
73550,Gunpowder,2017-10-21,"Kit Harington, Mark Gatiss, Edward Holcroft, Tom Cullen, Peter Mullan","War & Politics,Drama",6.754,/3eHeKVmm08g8LDoXobBioyti7id.jpg,"Miniserie de 3 episodios ambientada en Londres en el año 1605 que narra la historia del activista británico Guy Fawkes y un grupo de rebeldes, que tratarán de volar la Cámara de los Comunes y matar al rey James I en la Inglaterra del Siglo XVII.",K
124101,Hacks,2021-05-13,"Jean Smart, Hannah Einbinder, Carl Clemons-Hopkins, Paul W. Downs, Megan Stalter","Comedia,Drama",7.404,/ulBzMy5DZjBeUo6wHqn8ao0Zn6j.jpg,"Explora la oscura tutoría que se forma entre Deborah Vance, una comediante legendaria de Las Vegas, y una marginada de 25 años con privilegios.",J O
155256,Happy Toon,2010-07-02,"Hongyun Liu, 邓玉婷, Yanzi Yan, 祖晴, 李团","Kids,Animación,Comedia,Sci-Fi & Fantasy,Action & Adventure",7.333,/9Il7a5oQSpo12wGCkBwkB5S1H3O.jpg,,J
69541,Harlots,2017-03-27,"Alfie Allen, Danny Sapani, Bronwyn James, Ben Lambert, Rosalind Eleazar",Drama,7.4,/w6F93B2ZUCEUhRpgCS1cU82htqz.jpg,"Ambientada en el Londres del siglo XVIII, Harlots cuenta la historia de una mujer llamada Margaret Wells que regenta un famoso burdel de la ciudad. Las dos hijas de Margaret también forman parte del burdel, y su hija mayor, Charlotte, es la cortesana más codiciada de todo Londres. Aunque parece que el negocio va a durar eternamente, Lydia Quigley se encargará de que no sea así. La rival de Margaret, y dueña de otro burdel, intentará que su negocio fracase y que Charlotte deje de ser la cortesana de lujo que es.",P
88329,Hawkeye,2021-11-24,"Jeremy Renner, Hailee Steinfeld, Tony Dalton, Alaqua Cox, Fra Fee","Drama,Comedia,Action & Adventure",7.8,/ct5pNE5dDHryHLDnxyZPYcqO1sz.jpg,"Después del Lapso en Nueva York, el exvengador Clint Burton (alias Ojo de Halcón) debe cumplir una misión aparentemente sencilla: volver con su familia por Navidad. Pero una amenaza del pasado le obligará a aliarse a regañadientes con Kate Bishop, una hábil arquera de 22 años (y su mayor admiradora), para destapar una conspiración criminal.",M
124834,Heartstopper,2022-04-22,"Joe Locke, Kit Connor, William Gao, Yasmin Finney, Corinna Brown",Drama,8.56,/wJJt1HG62h3WoGnLcRIbO2nNNkg.jpg,"Dos adolescentes británicos, Nick Nelson y Charlie Spring, estudian en una escuela primaria exclusiva para varones. Charlie, un pensador demasiado nervioso y abiertamente gay, y Nick, un jugador de rugby alegre y de buen corazón, un día se sientan juntos en clase. La amistad florece rápidamente, pero ¿podría haber algo más...? Basada en la novela gráfica de Alice Oseman.",N
1401,Hell on Wheels,2011-11-06,"Anson Mount, Colm Meaney, Robin McLeavy, Christopher Heyerdahl, Phil Burke","Action & Adventure,Drama,Western",7.6,/ckC9pL9yeYpOoK5aJ7GbYYWheK7.jpg,"La Guerra Civil es parte del pasado, pero el ex soldado confederado Cullen Bahannon no puede dejarla atrás. Las memorias horrorosas del asesinato de su esposa a manos de soldados de la Unión siguen frescas en su mente, acto que lleva a Bohannon a vengarse. Este programa del Oeste contemporáneo cuenta la historia del recorrido de este hombre, la historia se embarca en la construcción del primer ferrocarril intercontinental del ""Union Pacific"". El viaje en dirección oeste de Bohannon lo lleva a un lugar sin ley en una ciudad llamada ""Infierno Sobre Ruedas"", cuya población ayuda a la construcción del ferrocarril y se muda con esta.",H
128641,High: Confessions of an Ibiza Drug Mule,2021-07-05,"Tatiana Penfold, Sade Giliberti, Michaella McCollum, Alexandra Constantinidi",Documental,5.3,/iJ6At2fJA6Uy1uP50EsKtURBWoy.jpg,"Michaela McCollum, detenida por contrabando de cocaína en Perú, narra en primera persona su estremecedora experiencia en el mundo del tráfico de drogas.",J
67243,High Maintenance,2016-09-16,"Ben Sinclair, Katja Blichfeld, Katja Blichfeld",Comedia,6.807,/qmYqwOW0QTkJy1UGUsM2t0Kowpu.jpg,"High Manintenance es un proyecto televisivo estadounidense  desarrollado por HBO a partir de la webserie del mismo nombre estrenada  en 2012, producida por Vimeo y creada por el matrimonio creativo de  Katja Blichfeld y Ben Sinclair.  La serie sigue a un repartidor  de marihuana anónimo llamado The Guy ('El Tío'), interpretado por  Sinclair, a medida que va entregando sus productos por toda la ciudad de  Nueva York. Cada episodio se centra en un nuevo grupo de personajes de  diferentes características, mientras esperan todos la llegada del  canabis que le han pedido al personaje de Sinclair.",K
226637,High Potential,2024-09-17,"Kaitlin Olson, Daniel Sunjata, Judy Reyes, Javicia Leslie, Deniz Akdeniz","Drama,Crimen,Misterio",8.0,/xCtaUDBUP1iKqtoqpHfeH1T2pWF.jpg,"Morgan es una madre soltera con una mente excepcional, cuya habilidad poco convencional para resolver crímenes conduce a una asociación inusual e imparable con un detective experimentado.",P
198102,Hijack,2023-06-28,"Idris Elba, Christine Adams, Albrecht Schuch, Christian Näthe, Clare-Hope Ashitey",Drama,7.563,/2C51clnxQdiqPDeqQlXcUx70hse.jpg,"El negociador Sam Nelson va a vivir el viaje de su vida cuando un grupo de secuestradores toma el control. Sam agotará sus tácticas, pero la situación es límite.",O
68507,His Dark Materials,2019-11-03,"Dafne Keen, Amir Wilson, Ruth Wilson, Adewale Akinnuoye-Agbaje, Simone Kirby","Sci-Fi & Fantasy,Drama",7.845,/g6tIKGc3f1H5QMz1dcgCwADKpZ7.jpg,"Lyra es una huérfana que vive en un universo paralelo en el que la ciencia, la teología y la magia están entrelazadas. La búsqueda de Lyra de un amigo secuestrado descubre un siniestro complot que involucra a niños robados, y se convierte en una búsqueda para comprender un fenómeno misterioso llamado Dust. Más tarde, en su viaje, se une a Will, un niño que posee un cuchillo que puede cortar ventanas entre mundos. A medida que Lyra se entera de la verdad sobre sus padres y su destino profetizado, los dos jóvenes se ven envueltos en una guerra contra los poderes celestiales que se extiende a lo largo de muchos mundos.",J N
