id,name,first_air_date,actors,genres,vote_average,poster_path,overview,ubicacion
121481,100 Foot Wave,2021-07-18,Garrett McNamara,"Documental,Reality",7.55,/ubwVtWy86MmIEGpOOlzSdyUB4dn.jpg,"Serie documental de seis partes que captura íntimamente la odisea durante una década del pionero del surf Garrett McNamara, quien, después de visitar Nazaré (Portugal) con la esperanza de conquistar una ola de 30 metros, llevó el deporte a alturas cada vez mayores y, junto con los lugareños, ayudó a transformar el pequeño pueblo de pescadores en el principal destino de surf de olas grandes del mundo.",JO
4613,Band of Brothers,2001-09-09,"Michael Cudlitz, Rick Gomez, Scott Grimes, Damian Lewis, Ron Livingston","Drama,War & Politics",8.587,/8JMXquNmdMUy2n2RgW8gfOM0O3l.jpg,"Miniserie de TV de 10 episodios que se basa en el bestseller de Stephen E. Ambrose ""Band Of Brothers"". Narra la historia de la Easy Company, un batallón americano del regimiento 506 de paracaidistas que luchó en Europa durante la II Guerra Mundial (1939-1945). Incluye entrevistas a los supervivientes, recuerdos de los periodistas y cartas de los soldados.",J
64464,11.22.63,2016-02-15,"James Franco, Sarah Gadon, Chris Cooper, Daniel Webber, Lucy Fry","Drama,Sci-Fi & Fantasy",7.75,/1fH41ccMKvgDTbbcCxWWH6fznah.jpg,"El profesor de secundaria Jake Epping viaja en el tiempo para evitar el asesinato del presidente John F. Kennedy - pero su misión se ve amenazada por Lee Harvey Oswald, el amor, y el pasado en sí, que no quiere ser cambiado y no debería de serlo.",P
118357,1883,2021-12-19,"Sam Elliott, Tim McGraw, Faith Hill, Isabel May, LaMonica Garrett","Drama,Western",8.259,/waLbm384SQDwLTCn6ttPqQS5kfV.jpg,"Precuela de la serie 'Yellowstone', que sigue la historia de la familia Dutton en un viaje hacia el oeste a través de las Grandes Llanuras, para ir hacia el último bastión de la indómita América, durante el año 1883.",M
90669,1899,2022-11-17,"Emily Beecham, Andreas Pietschmann, Aneurin Barnard, Isabella Wei, Maciej Musiał","Misterio,Drama",7.485,/qmpUDEgZawIlDU5HP3IJ9HjnpI3.jpg,"En 1899, cuando unos misteriosos sucesos cambian el rumbo de un barco de inmigrantes en ruta a Nueva York, sus pasajeros se ven arrastrados a un enigma desconcertante.",N
5027,Baa Baa Black Sheep,1976-09-21,"Robert Conrad, Simon Oakland, Dana Elcar, Dirk Blocker, W.K. Stratton","Action & Adventure,Drama,War & Politics",7.57,/u4VN9UMiUfPVgIvtubGQyfrZ581.jpg,"Serie de TV de 37 episodios (1976-1978). El mayor Gregory Boyington (apodado ""Pappy"" por su edad) se dedica a defender a un grupo de militares que tienen pendiente algún juicio por cargos como desobediencia, indisciplina o beber durante el servicio. Este grupo de inadaptados acabó siendo uno de los mejores escuadrones de combate durante la Segunda Guerra Mundial (1939-1945). La serie se basa en la novela autobiográfica del propio Boyington.",M
157744,1923,2022-12-18,"Helen Mirren, Harrison Ford, Brandon Sklenar, Julia Schlaepfer, Jerome Flynn","Drama,Western",8.217,/zgZRJZvZn5cpsWAB0zMUdad3iZd.jpg,"Sigue a una nueva generación de la familia Dutton a principios del siglo XX cuando las pandemias, la sequía histórica, el fin de la Prohibición y la Gran Depresión plagan el oeste montañoso y los Dutton que lo llaman hogar.",NP
108545,3 Body Problem,2024-03-21,"Jovan Adepo, Rosalind Chao, Liam Cunningham, Eiza González, Jess Hong","Sci-Fi & Fantasy,Misterio,Drama",7.454,/ykZ7hlShkdRQaL2aiieXdEMmrLb.jpg,"Una decisión tomada en China en los años 60 trasciende el tiempo y el espacio, obligando a unos científicos a afrontar la peor amenaza para la humanidad en el presente.",O
68467,3%,2016-11-25,"Bianca Comparato, Vaneza Oliveira, Rodolfo Valente, Rafael Lozano","Drama,Sci-Fi & Fantasy",7.078,/w9ixRllvnzpiDzu2r0e60U4aS8h.jpg,"La élite del futuro reside en una isla paradisíaca, lejos de las barriadas superpobladas. Sólo el 3% de los jóvenes llega a la isla: los que superan el Proceso.",J
89844,30 Coins,2020-11-29,"Eduard Fernández, Megan Montaner, Miguel Ángel Silvestre, Macarena Gómez, Pepón Nieto","Crimen,Misterio,Drama",7.239,/vHnRqCNztlfnNXQHvqKpX6jnAKV.jpg,"En un mundo donde nada es lo que parece, Vergara, Paco y Elena librarán una batalla por el control de las treinta monedas por las que Judas traicionó a Jesús.",J
